<pt>	v2	v2 err	v2 syserr	 (1/Nevt)d2N/dptdeta	err	
0.253 	0.0136 	6.76e-05 	0.000204 	1.84e+03 	0.0262
0.351 	0.017 	6.08e-05 	0.000255 	1.66e+03 	0.0249
0.449 	0.0219 	6.1e-05 	0.0003285 	1.44e+03 	0.0232
0.549 	0.0268 	6.43e-05 	0.000402 	1.21e+03 	0.0213
0.694 	0.0332 	5.1e-05 	0.000498 	916 	0.0185
0.894 	0.0411 	6.11e-05 	0.0006165 	623 	0.0152
1.09 	0.0483 	7.4e-05 	0.0007245 	419 	0.0125
1.38 	0.057 	6.91e-05 	0.000855 	239 	0.00943
1.76 	0.0676 	0.000105 	0.001014 	105 	0.00626
2.21 	0.0791 	0.000162 	0.0011865 	42.2 	0.00396
2.71 	0.0877 	0.000264 	0.0013155 	15.9 	0.00244
3.21 	0.0916 	0.000426 	0.001374 	6.15 	0.00151
3.71 	0.0927 	0.000669 	0.0013905 	2.49 	0.000964
4.38 	0.0838 	0.000831 	0.001257 	0.8 	0.000546
5.41 	0.0659 	0.0016 	0.0009885 	0.215 	0.000283
6.75 	0.0463 	0.00215 	0.0006945 	0.06 	0.000167
8.83 	0.0418 	0.00415 	0.000627 	0.016 	8.52e-05
10.9 	0.0287 	0.0067 	0.0004305 	0.00604 	5.22e-05
13.6 	0.0242 	0.00815 	0.000363 	0.00205 	4.3e-05
18.3 	0.0142 	0.0134 	0.000213 	0.000513 	2.63e-05
