<pt>	v2	v2 err	 v2 syserr	(1/Nevt)d2N/dptdeta	err	
entrality(d-20)     (Npart = 329.5)  
0.254 	0.0231 	6.18e-05 	0.0003465 	1.22e+03 	0.0214
0.351 	0.0312 	5.51e-05 	0.000468 	1.11e+03 	0.0204
0.449 	0.0407 	5.53e-05 	0.0006105 	961 	0.0189
0.549 	0.0497 	5.83e-05 	0.0007455 	807 	0.0174
0.694 	0.062 	4.63e-05 	0.00093 	611 	0.0151
0.894 	0.0772 	5.55e-05 	0.001158 	415 	0.0124
1.09 	0.0906 	6.74e-05 	0.001359 	279 	0.0102
1.38 	0.107 	6.3e-05 	0.001605 	159 	0.00772
1.76 	0.127 	9.63e-05 	0.001905 	70.9 	0.00515
2.21 	0.147 	0.000147 	0.002205 	28.8 	0.00328
2.71 	0.162 	0.000238 	0.00243 	11.1 	0.00203
3.21 	0.169 	0.00038 	0.002535 	4.37 	0.00128
3.72 	0.166 	0.000586 	0.00249 	1.83 	0.000827
4.39 	0.15 	0.00071 	0.00225 	0.619 	0.000481
5.41 	0.121 	0.00133 	0.001815 	0.174 	0.000255
6.75 	0.09 	0.00177 	0.00135 	0.0489 	0.000149
8.82 	0.0706 	0.00339 	0.001059 	0.0132 	7.7e-05
10.9 	0.0642 	0.00556 	0.000963 	0.00492 	4.71e-05
13.6 	0.0343 	0.00678 	0.0005145 	0.00165 	3.86e-05
18.3 	0.0444 	0.0113 	0.000666 	0.000395 	2.31e-05
