mincent  maxcent  npart   e2      e3       e4       e5      e6      e4_2         e6_2         e6_3
0   10  356.25  0.0791772  0.072423  0.0802115  0.0887253  0.0924959  0.0972854  0.123916  0.123916
10   20  260.312  0.139925  0.0364093  0.0707804  0.077585  0.095368  0.131431  0.164035  0.164035
20   30  186.018  0.230809  0.087131  0.131427  0.147055  0.154597  0.16777  0.197828  0.197828
30   40  128.856  0.303796  0.133346  0.203481  0.208247  0.225345  0.200607  0.227094  0.227094
40   50  85.1746  0.369869  0.18733  0.271969  0.278625  0.297578  0.224791  0.260677  0.260677
50   60  52.6567  0.436573  0.25712  0.348009  0.351435  0.368727  0.196771  0.281699  0.281699
60   70  29.8516  0.514318  0.316607  0.42663  0.415582  0.435672  0.279207  0.276637  0.276637
70   80  15.3634  0.597658  0.331795  0.505675  0.455336  0.513177  0.393942  0.238131  0.238131
80   90  7.47527  0.680896  0.143301  0.611448  0.436472  0.652887  0.525961  0.434846  0.434846
90   100  3.73587  0.800639  0.424897  0.777598  0.424841  0.823844  0.73967  0.728694  0.728693
