mincent  maxcent  npart   sys_e2      sys_e3       sys_e4       sys_e5      sys_e6      sys_e4_2         sys_e6_2         sys_e6_3
0   5  382.77  0.00275681  0.00180244  0.00238619  0.00263876  0.00203239  0.100079  0.177658  0.123241
5   10  329.731  0.00325301  0.00169806  0.00166174  0.00256114  0.0031646  0.343201  0.0708542  0.0123339
10   15  281.475  0.00756411  0.00256489  0.00277592  0.00347657  0.00478798  0.105732  0.0317182  0.0133308
15   20  239.148  0.0121394  0.00323097  0.00360355  0.00408346  0.00559356  0.0605513  0.0490883  0.0109465
20   25  202.215  0.0135057  0.00369631  0.00512778  0.00524503  0.00678946  0.0452709  0.151885  0.0148135
25   30  169.821  0.015905  0.00444966  0.00603272  0.00610573  0.00801948  0.0346106  0.463709  0.0182369
30   35  141.298  0.0184507  0.00506723  0.00767899  0.00719146  0.00932142  0.0328387  0.188101  0.0193537
35   40  116.413  0.0190216  0.0062637  0.00891732  0.00844845  0.0102641  0.033217  0.107554  0.0207641
40   45  94.6358  0.0195392  0.00715666  0.011047  0.0110197  0.0115261  0.0242272  0.0716706  0.0197971
45   50  75.7133  0.0212827  0.00846073  0.0125842  0.0125347  0.0130182  0.0251663  0.076101  0.0210209
50   55  59.5626  0.0218453  0.00995635  0.0149132  0.0134357  0.0130526  0.0209881  0.0387563  0.0217145
55   60  45.7506  0.0236727  0.0112744  0.0165729  0.0147908  0.0143126  0.0128681  0.0399828  0.0224017
60   65  34.4848  0.0226802  0.0116217  0.0183136  0.0145184  0.0159678  0.019587  0.0237376  0.0212242
65   70  25.2183  0.0247154  0.0125165  0.020166  0.0154449  0.0171823  0.0266531  0.0224442  0.0200677
70   75  18.0898  0.0225227  0.00880461  0.0209263  0.0121392  0.0185322  0.0234963  0.0256482  0.0141425
75   80  12.637  0.0241415  0.00846934  0.022667  0.0124884  0.0205748  0.0264937  0.0161132  0.00888483
80   85  8.77892  0.0257061  0.00690968  0.0249525  0.0123697  0.0233001  0.0305982  0.0381188  0.0210188
85   90  6.17162  0.0274468  0.00718411  0.0277303  0.0110981  0.026347  0.035857  0.0541235  0.0298438
90   95  4.40096  0.0295738  0.00993504  0.0311278  0.00731018  0.029469  0.0422702  0.0692552  0.0381875
95   100  3.0708  0.032868  0.011742  0.0356999  0.012942  0.0331056  0.0506991  0.0859602  0.0473985
