mincent  maxcent  npart   sys_e2      sys_e3       sys_e4       sys_e5      sys_e6      sys_e4_2         sys_e6_2         sys_e6_3
0   5  382.77  0.00384164  0.00299906  0.00423017  0.00509708  0.0050208  0.00270711  0.00165446  0.00114769
5   10  329.731  0.00611745  0.00445938  0.00458769  0.00613706  0.00639487  0.00118546  0.0035632  0.000620261
10   15  281.475  0.00979773  0.00546744  0.00557004  0.00722241  0.00901543  0.0073867  0.00303812  0.00127689
15   20  239.148  0.0142819  0.00645213  0.00637269  0.0074012  0.0101617  0.0121968  0.00424109  0.000945749
20   25  202.215  0.0152726  0.00723482  0.00803516  0.00825013  0.0112369  0.0154435  0.00721284  0.000703475
25   30  169.821  0.0176676  0.00806555  0.00908007  0.00917762  0.0124  0.0159089  0.007132  0.00028049
30   35  141.298  0.020249  0.00891821  0.0102336  0.010171  0.0130712  0.0191901  0.0162965  0.00167675
35   40  116.413  0.0206998  0.00980171  0.0114595  0.011227  0.0136368  0.023442  0.0185137  0.00357422
40   45  94.6358  0.0211466  0.0107771  0.0136789  0.0139934  0.0145696  0.0201064  0.0177669  0.00490763
45   50  75.7133  0.0229809  0.0118025  0.015168  0.0152828  0.0158498  0.0243451  0.0263349  0.00727432
50   55  59.5626  0.0234785  0.0129783  0.0174739  0.0159259  0.0154472  0.0259457  0.017508  0.00980945
55   60  45.7506  0.0253275  0.0141063  0.0190729  0.0171831  0.016574  0.0299837  0.0221962  0.0124362
60   65  34.4848  0.02413  0.0141222  0.0206732  0.0165073  0.018095  0.0278309  0.0162964  0.0145709
65   70  25.2183  0.0260742  0.0149728  0.0223276  0.0173701  0.0191728  0.0316477  0.0198052  0.0177082
70   75  18.0898  0.0236153  0.0106341  0.0228776  0.0135694  0.0204563  0.0264625  0.0283668  0.0156415
75   80  12.637  0.0251777  0.0107963  0.0246236  0.0139848  0.0223401  0.0291508  0.0330163  0.0182053
80   85  8.77892  0.0267027  0.0106451  0.0267859  0.0139858  0.024723  0.0326347  0.0401529  0.0221404
85   90  6.17162  0.0283479  0.0100873  0.0292486  0.0133432  0.027337  0.0368634  0.049452  0.0272679
90   95  4.40096  0.0302593  0.00896362  0.0320889  0.0116886  0.0300563  0.0422305  0.0616438  0.0339905
95   100  3.0708  0.033162  0.00650281  0.0359902  0.00821068  0.0333341  0.0499428  0.0792927  0.0437199
